Cs,FA,MA,Pb,I,Br,structure,bandgap,substrate,ETL,ETL-2,ETLthickness,HTL,HTLthickness,electrode,depositionProcedure,depositionMethod,Anti-solvent,PrecursorSolvent,AnnealingTemperature,AnnealingTime,Jsc,Voc,FF,PCE
0.06,0.45,0.49,1.0,1.86,0.96,1,1.8,FTO,SnO2,,,spiro,,C,one-step,spin,,DMF/DMSO,100.0,30.0,12.1,1.05,0.49,7.2
0.05,0.8,0.15,1.0,1.8,1.2,1,1.768,ITO,TiO2,,,CuSCN,,Cu,,,,,,,14.899,1.32,0.651,12.803
0.25,0.5625,0.1875,1.0,2.1,0.9,0,1.76,ITO,C,BCP,,PTAA,,Cu,two-step,spin,,DMF/NMP,100.0,30.0,16.7,1.17,0.696,13.6
0.17,0.83,0.0,1.0,1.8,1.2,1,1.75,,,,,,,,,,,,,,19.8,1.2,0.751,17.1
0.15,0.6375,0.2125,1.0,2.1,0.9,0,1.74,ITO,C,BCP,,PTAA,,Cu,two-step,spin,,DMF/NMP,100.0,30.0,18.0,1.11,0.719,14.4
0.05,0.7125,0.2375,1.0,2.1,0.9,0,1.73,ITO,C,BCP,,PTAA,,Cu,two-step,spin,,DMF/NMP,100.0,30.0,15.0,1.13,0.66,11.2
0.1,0.75,0.15,1.0,2.01,0.99,1,1.73,,,,,,,,,,,,,,,1.13,,17.3
0.25,0.5625,0.1875,1.0,2.28,0.72,0,1.72,ITO,C,BCP,,PTAA,,Cu,two-step,spin,,DMF/NMP,100.0,30.0,17.9,1.12,0.764,15.3
0.15,0.6375,0.2125,1.0,2.28,0.72,0,1.71,ITO,C,BCP,,PTAA,,Cu,two-step,spin,,DMF/NMP,100.0,30.0,18.7,1.09,0.724,14.9
0.25,0.5625,0.1875,1.0,2.4,0.6,0,1.7,ITO,C,BCP,,PTAA,,Cu,two-step,spin,,DMF/NMP,100.0,30.0,17.8,1.12,0.705,14.1
0.15,0.7055,0.1445,1.0,2.1,0.9,1,1.7,,,,,,,,,,,,,,18.7,1.19,0.802,18.6
0.3,0.6,0.1,1.0,2.4,0.6,1,1.7,,,,,,,,,,,,,,19.6,1.2,0.82,19.2
0.05,0.7125,0.2375,1.0,2.28,0.72,0,1.68,ITO,C,BCP,,PTAA,,Cu,two-step,spin,,DMF/NMP,100.0,30.0,17.5,1.11,0.733,14.3
0.15,0.6375,0.2125,1.0,2.4,0.6,0,1.68,ITO,C,BCP,,PTAA,,Cu,two-step,spin,,DMF/NMP,100.0,30.0,19.9,1.1,0.737,16.1
0.25,0.5625,0.1875,1.0,2.49,0.51,0,1.68,ITO,C,BCP,,PTAA,,Cu,two-step,spin,,DMF/NMP,100.0,30.0,18.1,1.13,0.674,13.8
0.15,0.65,0.2,1.0,2.4,0.6,1,1.68,,,,,,,,,,,,,,21.2,1.17,0.798,19.8
0.05,0.7125,0.2375,1.0,2.4,0.6,0,1.67,ITO,C,BCP,,PTAA,,Cu,two-step,spin,,DMF/NMP,100.0,30.0,18.8,1.11,0.714,14.9
0.2134,0.7566,0.03,1.0,2.473,0.4365,1,1.67,,,,,,,,,,,,,,20.2,1.22,0.832,20.4
0.05,0.8,0.15,1.0,2.4,0.6,1,1.654,ITO,TiO2,,,CuSCN,,Cu,,,,,,,16.927,1.14,0.727,14.024
0.2,0.32,0.48,1.0,2.8,0.2,1,1.65,FTO,TiO2,Al2O3,,NiO,,C,two-step,spin,,DMF/DMSO,100.0,30.0,12.61,0.889,0.6807,7.64
0.05,0.7125,0.2375,1.0,2.49,0.51,0,1.65,ITO,C,BCP,,PTAA,,Cu,two-step,spin,,DMF/NMP,100.0,30.0,19.5,1.07,0.704,14.6
0.15,0.6375,0.2125,1.0,2.49,0.51,0,1.65,ITO,C,BCP,,PTAA,,Cu,two-step,spin,,DMF/NMP,100.0,30.0,20.3,1.09,0.757,16.8
0.05,0.8,0.15,1.0,2.25,0.75,1,1.65,,,,,,,,,,,,,,21.2,1.22,0.76,20.8
0.05,0.8075,0.1425,1.0,2.572,0.4275,1,1.65,,,,,,,,,,,,,,,1.59,0.81,22.59
0.1,0.36,0.54,1.0,2.8,0.2,1,1.647,FTO,TiO2,Al2O3,,NiO,,C,two-step,spin,,DMF/DMSO,100.0,30.0,17.63,0.903,0.6637,10.57
0.25,0.5625,0.1875,1.0,2.7,0.3,0,1.64,ITO,C,BCP,,PTAA,,Cu,two-step,spin,,DMF/NMP,100.0,30.0,19.9,1.07,0.805,17.1
0.05,0.8,0.15,1.0,2.52,0.48,1,,ITO,TiO2,,,CuSCN,,Cu,,,,,,,18.503,1.1,0.739,15.054
0.05,0.38,0.57,1.0,2.8,0.2,1,1.63,FTO,TiO2,Al2O3,,NiO,,C,two-step,spin,,DMF/DMSO,100.0,30.0,23.4,1.008,0.7214,17.02
0.15,0.6375,0.2125,1.0,2.7,0.3,0,1.63,ITO,C,BCP,,PTAA,,Cu,two-step,spin,,DMF/NMP,100.0,30.0,21.2,1.06,0.722,16.2
0.05,0.7885,0.1615,1.0,2.46,0.54,1,1.63,,,,,,,,,,,,,,21.6,1.1,0.779,18.4
0.05,0.8,0.15,1.0,2.55,0.45,1,1.63,,,,,,,,,,,,,,22.8,1.24,0.78,22.1
0.13,0.77,0.0,1.0,2.46,0.54,1,1.62,,,,,,,,,,,,,,22.3,1.25,0.8,22.3
0.0,0.4,0.6,1.0,2.8,0.2,1,1.617,FTO,TiO2,Al2O3,,NiO,,C,two-step,spin,,DMF/DMSO,100.0,30.0,22.31,0.953,0.7,14.88
0.05,0.85,0.15,1.0,2.55,0.45,1,1.61,,,,,,,,,,,,,,,,,
0.05,0.79,0.15,1.0,2.45,0.55,1,1.6,ITO,SnO2,,20.0,spiro,200.0,Au,,,,,,,22.297,1.0755,0.7475,17.92
0.05,0.7125,0.2375,1.0,2.7,0.3,0,1.6,ITO,C,BCP,,PTAA,,Cu,two-step,spin,,DMF/NMP,100.0,30.0,20.8,1.08,0.767,17.3
0.0,0.0,1.0,1.0,3.0,0.0,1,1.6,,,,,,,,,,,,,,20.7,1.26,0.8,20.7
0.05,0.76,0.19,1.0,2.45,0.6,1,1.572,FTO,TiO2,,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,23.29,1.156,0.765,20.6
0.175,0.75,0.075,1.0,2.64,0.36,1,1.57,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,20.0,21.88,1.124,0.75,18.45
0.05,0.81,0.14,1.0,2.55,0.45,1,1.57,,,,,,,,,,,,,,22.16,1.23,0.78,21.1
0.05,0.8,0.15,1.0,2.85,0.15,1,1.5685,ITO,TiO2,,,CuSCN,,Cu,,,,,,,18.875,1.02,0.769,14.812
0.05,0.86,0.09,1.0,2.91,0.09,1,1.56,FTO,SnO2,,,spiro,,Ag,two-step,spin,CB,DMF,100.0,60.0,21.0,0.987,0.453,9.4
0.05,0.86,0.09,1.0,2.91,0.09,1,1.56,FTO,SnO2,,,spiro,,Ag,two-step,spin,CB,DMF/DMSO,100.0,60.0,23.49,1.041,0.748,18.3
0.05,0.8,0.15,1.0,2.85,0.15,1,1.55,,,,,,,,,,,,,,24.1,1.18,0.83,23.7
0.05,0.8075,0.1425,1.0,2.6,0.45,1,1.546,FTO,TiO2,,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,23.61,1.135,0.777,20.7
0.05,0.855,0.095,1.0,2.75,0.3,1,1.537,FTO,TiO2,,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,24.13,1.131,0.768,21.0
0.03,0.9409,0.0291,1.0,2.91,0.09,1,1.53,,,,,,,,,,,,,,24.6,1.21,0.8,23.8
0.05,0.9025,0.0475,1.0,2.9,0.15,1,,FTO,TiO2,,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,24.69,1.126,0.768,21.4
0.05,0.95,0.0,1.0,3.05,0.0,1,,FTO,TiO2,,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,25.45,1.09,0.727,20.1
0.05,0.9,0.05,1.0,3.0,0.0,1,,FTO,c-TiO2,mp-TiO2,,spiro,0.07,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,25.32,1.12,0.837,23.76
0.05,0.9,0.05,1.0,3.0,0.0,1,,FTO,c-TiO2,mp-TiO2,,spiro,0.07,Au,two-step,spin,CB,DMF/DMSO/DmmimCl,100.0,60.0,25.26,1.15,0.84,24.46
0.05,0.85,0.1,1.0,2.55,0.45,1,,FTO,SnO2,,0.04,spiro,,Cu,one-step,spin,CB,DMF/DMSO,100.0,60.0,22.01,1.045,0.743,17.1
0.05,0.7885,0.1615,1.0,2.49,0.51,1,,ITO,SnO2,,30.0,spiro,165.0,Ag,one-step,spin,CB,DMF/DMSO,120.0,0.0,20.17,1.12,0.6634,15.03
0.05,0.7885,0.1615,1.0,2.49,0.51,1,,ITO,SnO2,,30.0,spiro,165.0,Ag,one-step,spin,CB,DMF/DMSO,120.0,2.0,21.2,1.12,0.6478,15.37
0.05,0.7885,0.1615,1.0,2.49,0.51,1,,ITO,SnO2,,30.0,spiro,165.0,Ag,one-step,spin,CB,DMF/DMSO,120.0,5.0,20.01,1.14,0.7694,17.48
0.05,0.7885,0.1615,1.0,2.49,0.51,1,,ITO,SnO2,,30.0,spiro,165.0,Ag,one-step,spin,CB,DMF/DMSO,120.0,10.0,21.32,1.14,0.7622,18.57
0.05,0.7885,0.1615,1.0,2.49,0.51,1,,ITO,SnO2,,30.0,spiro,165.0,Ag,one-step,spin,CB,DMF/DMSO,120.0,15.0,20.91,1.14,0.7513,17.97
0.05,0.7885,0.1615,1.0,2.49,0.51,1,,ITO,SnO2,,30.0,spiro,165.0,Ag,one-step,spin,CB,DMF/DMSO,120.0,20.0,19.78,1.14,0.7534,17.04
0.05,0.7885,0.1615,1.0,2.49,0.51,1,,ITO,SnO2,,30.0,spiro,165.0,Ag,one-step,spin,CB,DMF/DMSO,120.0,10.0,19.96,1.13,0.6966,15.73
0.05,0.81,0.14,1.0,2.86,0.14,0,,FTO,C,BCP,,NiOx,,Ag,two-step,spin,toluene,DMF/DMSO,120.0,10.0,23.1,0.93,0.769,16.2
0.16,0.8,0.04,1.0,1.5,1.5,0,,FTO,PCBM,BCP,,PTAA,,Ag,one-step,spin,CB,DMF/DMSO,100.0,15.0,17.64,1.22,0.73,15.7
0.05,0.7885,0.1615,1.0,2.49,0.51,1,,FTO,TiO2,,,spiro,,Ag,two-step,spin,CB,DMF/DMSO,100.0,5.0,23.78,1.145,0.7789,21.15
0.05,0.7885,0.1615,1.0,2.49,0.51,1,,FTO,TiO2,,,spiro,,Ag,one-step,spin,CB,DMF/DMSO,110.0,60.0,22.3,1.14,0.705,18.3
0.05,0.81,0.14,1.0,2.55,0.45,1,,ITO,SnO2,,,spiro,,,,,,DMF/DMSO,,,22.5,1.11,0.78,19.4
0.06,0.79,0.15,1.0,2.55,0.45,1,,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,22.95,1.121,0.78,20.0
0.05,0.7885,0.1615,1.0,3.0,0.0,1,,ITO,SnO2,,,spiro,,Au,two-step,R2R,CB,DMF/DMSO,100.0,10.0,21.67,0.82,0.6826,12.08
0.05,0.7885,0.1615,1.0,2.49,0.51,1,,ITO,SnO2,,,spiro,,Au,two-step,R2R,CB,DMF/DMSO,100.0,10.0,20.62,1.05,0.7605,16.51
0.05,0.7885,0.1615,1.0,1.95,1.05,1,,ITO,SnO2,,,spiro,,Au,two-step,R2R,CB,DMF/DMSO,100.0,10.0,17.17,1.09,0.7583,14.24
0.05,0.7885,0.1615,1.0,1.5,1.5,1,,ITO,SnO2,,,spiro,,Au,two-step,R2R,CB,DMF/DMSO,100.0,10.0,15.05,1.12,0.6427,10.81
0.05,0.7885,0.1615,1.0,0.9,2.1,1,,ITO,SnO2,,,spiro,,Au,two-step,R2R,CB,DMF/DMSO,100.0,10.0,10.52,1.13,0.576,6.88
0.05,0.7885,0.1615,1.0,0.0,3.0,1,,ITO,SnO2,,,spiro,,Au,two-step,R2R,CB,DMF/DMSO,100.0,10.0,6.01,1.31,0.5524,4.36
0.05,0.7885,0.1615,1.0,2.49,0.51,1,,FTO,c-TiO2,,,spiro,,Au,two-step,R2R,CB,DMF/DMSO,100.0,60.0,21.6,1.112,0.733,17.6
0.0,0.4,0.6,1.0,3.0,0.0,1,,TCO,ZnO,,,PEDOT:PSS,,Ag,two-step,R2R,CB,,,,19.6,1.04,0.538,11.0
0.0,0.4,0.6,1.0,3.0,0.0,1,,TCO,ZnO,,,P3HT,,Ag,two-step,R2R,CB,,,,20.6,1.05,0.536,11.6
0.0,0.0,1.0,1.0,3.0,0.0,1,,ITO,SnO2,,20.0,spiro,220.0,Ag,one-step,spin,CB,DMF/DMSO,100.0,10.0,21.0,1.05,0.723,16.1
0.0,0.0,1.0,1.0,3.0,0.0,1,,ITO,SnO2,,20.0,spiro,220.0,Ag,two-step,spin,CB,DMF/DMSO,100.0,10.0,20.1,1.05,0.688,14.6
0.0,0.0,1.0,1.0,3.0,0.0,1,,ITO,SnO2,,20.0,spiro,220.0,Ag,two-step,R2R,CB,DMF/DMSO,100.0,10.0,15.5,0.83,0.607,7.8
0.0,0.95,0.05,1.0,2.85,0.15,1,,ITO,SnO2,,,P3HT,,Au,two-step,R2R,tBuOH/EA,DMF/DMSO,120.0,30.0,20.9,0.96,0.681,13.8
0.0,0.95,0.05,1.0,2.85,0.15,1,,ITO,SnO2,,,spiro,,Au,two-step,R2R,tBuOH/EA,DMF/DMSO,120.0,30.0,22.0,1.02,0.744,16.7
0.0,0.95,0.05,1.0,2.85,0.15,1,,ITO,SnO2,,,spiro,,Au,two-step,spin,CB,DMF/DMSO,120.0,30.0,23.4,1.13,0.837,22.2
0.02,0.38,0.6,1.0,2.975,0.025,0,,ITO,PCBM,,,PEDOT:PSS,,PEIE/Ag,one-step,R2R,,DMF,100.0,10.0,21.75,0.98,0.5476,11.67
0.05,0.7885,0.1615,1.0,2.54,0.51,1,,FTO,TiO2,,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,23.6,1.129,0.767,20.6
0.1,0.76,0.14,1.0,2.58,0.42,1,,FTO,TiO2,,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,23.18,1.07,0.783,19.01
0.33,0.33,0.33,1.0,2.4,0.6,1,,FTO,c-TiO2,mp-TiO2,40.0,spiro,50.0,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,18.43,1.05,0.48,9.3
0.0,0.83,0.17,1.0,2.49,0.51,1,,FTO,c-TiO2,mp-TiO2,30.0,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,22.1,1.071,0.71,16.8
0.05,0.7885,0.1615,1.0,2.49,0.51,1,,FTO,c-TiO2,mp-TiO2,30.0,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,22.7,1.109,0.74,18.6
0.1,0.747,0.153,1.0,2.49,0.51,1,,FTO,c-TiO2,mp-TiO2,30.0,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,22.0,1.13,0.77,19.1
0.15,0.7055,0.1445,1.0,2.49,0.51,1,,FTO,c-TiO2,mp-TiO2,30.0,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,19.4,1.088,0.69,14.6
0.0,0.75,0.25,1.0,2.49,0.51,1,,FTO,c-TiO2,mp-TiO2,31.0,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,18.6,0.906,0.6,10.1
0.05,0.75,0.2,1.0,2.49,0.51,1,,FTO,c-TiO2,mp-TiO2,32.0,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,17.9,0.913,0.52,8.5
0.1,0.75,0.15,1.0,2.49,0.51,1,,FTO,c-TiO2,mp-TiO2,31.0,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,20.7,1.049,0.75,16.3
0.15,0.75,0.1,1.0,2.49,0.51,1,,FTO,c-TiO2,mp-TiO2,31.0,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,21.1,1.06,0.75,16.8
0.2,0.75,0.05,1.0,2.49,0.51,1,,FTO,c-TiO2,mp-TiO2,31.0,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,20.4,1.054,0.74,15.9
0.25,0.75,0.0,1.0,2.49,0.51,1,,FTO,c-TiO2,mp-TiO2,31.0,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,20.7,1.045,0.66,14.3
0.04,0.92,0.04,1.0,3.0,0.0,0,,ITO,BCP,,,PTAA,25.0,Ag,two-step,spin,CB,DMF/DMSO,100.0,15.0,24.03,0.98,0.7495,17.62
0.05,0.81,0.14,1.0,2.55,0.45,1,,ITO,SnO2,,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,22.3,1.08,0.751,18.1
0.05,0.81,0.14,1.0,2.55,0.45,1,,ITO,SnO2,,,spiro,,Au,two-step,spin,CB,DMSO,130.0,10.0,20.7,1.05,0.745,16.6
0.05,0.7885,0.1615,1.0,2.49,0.51,1,,FTO,c-TiO2,mp-TiO2,40.0,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,,,0.725,16.1
0.05,0.79,0.15,1.0,2.45,0.55,1,,ITO,SnO2,,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,22.83,1.1,0.7762,18.38
0.05,0.79,0.15,1.0,2.45,0.55,1,,ITO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,21.61,1.09,0.6463,15.23
0.175,0.75,0.075,1.0,2.64,0.36,0,,ITO,PCBM,ZnO,,NiOx,,Ag,two-step,spin,,DMF/DMSO,100.0,10.0,21.3,1.06,0.7695,17.42
0.05,0.7885,0.1615,1.0,2.49,0.51,1,,FTO,c-TiO2,mp-TiO2,,spiro,,Au,one-step,spin,CB,DMF/DMSO,100.0,45.0,22.73,1.107,0.72,18.12
0.05,0.7885,0.1615,1.0,2.49,0.51,1,,ITO,SnO2,,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,26.04,1.005,0.709,18.58
0.05,0.7885,0.1615,1.0,2.49,0.51,1,,ITO,SnO2,,,spiro,,Au,two-step,spin,ANI,DMF/DMSO,100.0,60.0,25.54,1.006,0.723,18.58
0.1,0.747,0.153,1.0,2.49,0.51,1,,ITO,SnO2,,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,23.79,0.984,0.818,19.15
0.1,0.747,0.153,1.0,2.49,0.51,1,,ITO,SnO2,,,spiro,,Au,two-step,spin,ANI,DMF/DMSO,100.0,60.0,25.42,1.049,0.758,20.21
0.05,0.9,0.05,1.0,3.0,0.0,1,,FTO,c-TiO2,mp-TiO2,,spiro,,Au,one-step,spin,CB,DMF/DMSO,100.0,60.0,25.32,1.122,0.8365,23.76
0.05,0.9,0.05,1.0,3.0,0.0,1,,FTO,c-TiO2,mp-TiO2,,spiro,,Au,one-step,spin,CB,DMF/DMSO/DmmimCl,100.0,60.0,25.26,1.153,0.8398,24.46
0.05,0.81,0.14,1.0,2.55,0.45,1,,ITO,SnO2,Al2O3,,spiro,,Au,one-step,spin,,DMF/DMSO,120.0,10.0,24.1,1.16,0.72,20.12
0.05,0.85,0.15,1.0,2.55,0.45,0,,ITO,PCBM,BCP,,PTAA,,Ag,one-step,spin,EA,DMF/DMSO,100.0,60.0,23.36,1.04,0.7895,19.18
0.05,0.7885,0.1615,1.0,2.49,0.51,1,,FTO,TiO2,,,spiro,,Au,two-step,spin,CB,DMF/DMSO,110.0,50.0,22.28,1.104,0.702,17.28
0.05,0.915,0.085,1.0,2.745,0.255,1,,FTO,c-TiO2,mp-TiO2,,spiro,,Au,one-step,spin,,DMF/DMSO,100.0,3.0,20.6,1.084,0.625,14.0
0.05,0.83,0.17,1.0,2.49,0.51,1,,FTO,c-TiO2,mp-TiO2,,spiro,,Au,one-step,spin,,DMF/DMSO,100.0,3.0,18.9,1.113,0.577,12.1
0.05,0.745,0.255,1.0,2.235,0.765,1,,FTO,c-TiO2,mp-TiO2,,spiro,,Au,one-step,spin,,DMF/DMSO,100.0,3.0,18.56,1.016,0.6116,11.54
0.0,0.95,0.05,1.0,2.94,0.06,1,,FTO,c-TiO2,mp-TiO2,,spiro,,Au,one-step,spin,CB,DMF/DMSO,150.0,30.0,20.18,0.972,0.665,13.04
0.05,0.87,0.08,1.0,2.76,0.24,0,,ITO,BCP,C,,PTAA,,Ag,one-step,spin,,DMF/DMSO,100.0,30.0,21.86,1.0,0.77,16.9
