Cs,FA,MA,Pb,I,Br,structure,bandgap,substrate,ETL,ETL-2,ETLthickness,HTL,HTLthickness,electrode,depositionProcedure,depositionMethod,Anti-solvent,PrecursorSolvent,AnnealingTemperature,AnnealingTime,Jsc,Voc,FF,PCE
0.0,0.83,0.17,1.0,0.5,2.5,1,2.11,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,8.8,0.88,0.43,3.3
0.0,0.83,0.17,1.0,0.0,3.0,1,2.28,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,7.0,1.42,0.65,6.5
0.0,0.67,0.33,1.0,3.0,0.0,1,1.53,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,22.7,0.97,0.63,13.9
0.0,0.67,0.33,1.0,2.5,0.5,1,1.64,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,23.7,1.14,0.76,20.7
0.0,0.67,0.33,1.0,2.0,1.0,1,1.68,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,21.4,1.15,0.75,18.5
0.0,0.67,0.33,1.0,1.5,1.5,1,1.85,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,15.3,1.11,0.69,11.7
0.0,0.67,0.33,1.0,1.0,2.0,1,1.97,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,9.5,1.0,0.59,5.6
0.0,0.67,0.33,1.0,0.5,2.5,1,2.11,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,7.2,0.92,0.51,3.4
0.0,0.67,0.33,1.0,0.0,3.0,1,2.28,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,7.0,1.35,0.58,5.5
0.0,0.5,0.5,1.0,3.0,0.0,1,1.55,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,19.6,0.96,0.68,12.8
0.0,0.5,0.5,1.0,2.5,0.5,1,1.61,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,20.4,1.04,0.61,12.9
0.0,0.5,0.5,1.0,2.0,1.0,1,1.75,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,20.0,1.1,0.69,15.3
0.0,0.5,0.5,1.0,1.5,1.5,1,1.85,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,15.5,1.09,0.7,11.9
0.0,0.5,0.5,1.0,1.0,2.0,1,1.96,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,12.6,1.03,0.6,7.9
0.0,0.5,0.5,1.0,0.5,2.5,1,2.14,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,6.9,0.98,0.58,3.9
0.0,0.5,0.5,1.0,0.0,3.0,1,2.28,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,7.0,1.39,0.73,7.1
0.0,0.33,0.67,1.0,3.0,0.0,1,1.56,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,22.3,1.0,0.65,14.3
0.0,0.33,0.67,1.0,2.5,0.5,1,1.67,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,18.7,0.91,0.64,11.0
0.0,0.33,0.67,1.0,2.0,1.0,1,1.76,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,20.4,1.17,0.73,17.5
0.0,0.33,0.67,1.0,1.5,1.5,1,1.85,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,13.9,1.13,0.68,10.7
0.0,0.33,0.67,1.0,1.0,2.0,1,1.97,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,9.0,1.08,0.64,6.2
0.0,0.33,0.67,1.0,0.5,2.5,1,2.14,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,4.4,0.99,0.66,2.9
0.0,0.33,0.67,1.0,0.0,3.0,1,2.29,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,6.4,1.35,0.72,6.4
0.0,0.17,0.83,1.0,3.0,0.0,1,1.59,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,18.8,1.05,0.6,11.8
0.0,0.17,0.83,1.0,2.5,0.5,1,1.63,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,22.7,1.04,0.68,16.0
0.0,0.17,0.83,1.0,2.0,1.0,1,1.76,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,16.7,1.12,0.65,12.2
0.0,0.17,0.83,1.0,1.5,1.5,1,1.86,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,10.3,1.07,0.79,8.7
0.0,0.17,0.83,1.0,1.0,2.0,1,1.99,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,5.1,0.94,0.74,3.5
0.0,0.17,0.83,1.0,0.5,2.5,1,2.15,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,2.8,0.95,0.86,2.3
0.0,0.17,0.83,1.0,0.0,3.0,1,2.3,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,6.3,1.37,0.81,7.1
0.0,0.0,1.0,1.0,3.0,0.0,1,1.59,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,21.2,0.91,0.54,10.3
0.0,0.0,1.0,1.0,2.5,0.5,1,1.66,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,18.3,1.1,0.66,13.2
0.0,0.0,1.0,1.0,2.0,1.0,1,1.7,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,13.2,0.96,0.67,8.5
0.0,0.0,1.0,1.0,0.0,3.0,1,2.31,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,5.9,1.41,0.67,5.6
0.2,0.8,0.0,1.0,3.0,0.0,1,1.574,FTO,SnO2,C,,spiro,,Au,one-step,spin,diethyl ether,DMF/DMSO,150.0,10.0,21.73,1.03,0.7237,16.18
0.0,1.0,0.0,1.0,3.0,0.0,1,1.48,FTO,c-TiO2,,,spiro,,Ag,one-step,spin,,DMF/DMSO,185.0,30.0,15.28,0.72,0.36,3.94
0.1,0.9,0.0,1.0,3.0,0.0,1,1.53,FTO,c-TiO2,,,spiro,,Ag,one-step,spin,,DMF/DMSO,185.0,30.0,22.25,0.69,0.45,6.82
0.15,0.85,0.0,1.0,3.0,0.0,1,1.54,FTO,c-TiO2,,,spiro,,Ag,one-step,spin,,DMF/DMSO,185.0,30.0,22.61,0.86,0.64,12.35
0.2,0.8,0.0,1.0,3.0,0.0,1,1.55,FTO,c-TiO2,,,spiro,,Ag,one-step,spin,,DMF/DMSO,185.0,30.0,20.75,0.7,0.53,7.67
0.25,0.75,0.0,1.0,3.0,0.0,1,1.54,FTO,c-TiO2,,,spiro,,Ag,one-step,spin,,DMF/DMSO,185.0,30.0,22.61,0.83,0.51,9.48
0.0,0.85,0.15,1.0,2.85,0.15,1,1.55,ITO,TiO2,,,spiro,,Au,one-step,spin,CB,DMF/DMSO,100.0,10.0,20.96,1.01,0.61,14.29
0.0,0.85,0.15,1.0,2.7,0.3,1,1.58,ITO,TiO2,,,spiro,,Au,one-step,spin,CB,DMF/DMSO,100.0,10.0,21.3,1.06,0.7,15.3
0.0,0.85,0.15,1.0,2.55,0.45,1,1.6,ITO,TiO2,,,spiro,,Au,one-step,spin,CB,DMF/DMSO,100.0,10.0,20.77,1.04,0.68,14.08
0.0,0.85,0.15,1.0,2.4,0.6,1,1.62,ITO,TiO2,,,spiro,,Au,one-step,spin,CB,DMF/DMSO,100.0,10.0,20.18,1.05,0.54,9.79
0.0,0.85,0.15,1.0,2.25,0.75,1,1.65,ITO,TiO2,,,spiro,,Au,one-step,spin,CB,DMF/DMSO,100.0,10.0,17.91,1.07,0.64,11.17
0.0,0.85,0.15,1.0,2.1,0.9,1,1.68,ITO,TiO2,,,spiro,,Au,one-step,spin,CB,DMF/DMSO,100.0,10.0,17.71,1.1,0.65,10.04
0.0,0.85,0.15,1.0,1.95,1.05,1,1.72,ITO,TiO2,,,spiro,,Au,one-step,spin,CB,DMF/DMSO,100.0,10.0,17.86,1.1,0.65,12.11
0.0,0.85,0.15,1.0,1.8,1.2,1,1.76,ITO,TiO2,,,spiro,,Au,one-step,spin,CB,DMF/DMSO,100.0,10.0,15.8,1.11,0.56,8.32
0.0,0.85,0.15,1.0,1.65,1.35,1,1.8,ITO,TiO2,,,spiro,,Au,one-step,spin,CB,DMF/DMSO,100.0,10.0,17.27,1.12,0.59,11.59
0.0,0.9,0.1,1.0,2.7,0.3,1,1.59,ITO,TiO2,,,spiro,,Au,one-step,spin,CB,DMF/DMSO,100.0,10.0,21.5,1.03,0.59,15.3
0.0,0.85,0.15,1.0,2.55,0.45,1,1.6,ITO,TiO2,,,spiro,,Au,one-step,spin,CB,DMF/DMSO,100.0,10.0,20.77,1.04,0.68,14.47
0.0,0.8,0.2,1.0,2.4,0.6,1,1.64,ITO,TiO2,,,spiro,,Au,one-step,spin,CB,DMF/DMSO,100.0,10.0,20.48,1.03,0.64,13.48
0.0,0.75,0.25,1.0,2.25,0.75,1,1.67,ITO,TiO2,,,spiro,,Au,one-step,spin,CB,DMF/DMSO,100.0,10.0,20.88,1.05,0.57,15.83
0.0,0.7,0.3,1.0,2.1,0.9,1,1.69,ITO,TiO2,,,spiro,,Au,one-step,spin,CB,DMF/DMSO,100.0,10.0,17.97,1.07,0.62,12.58
0.0,0.65,0.35,1.0,1.95,1.05,1,1.73,ITO,TiO2,,,spiro,,Au,one-step,spin,CB,DMF/DMSO,100.0,10.0,18.5,1.09,0.68,13.95
0.0,0.6,0.4,1.0,1.8,1.2,1,1.77,ITO,TiO2,,,spiro,,Au,one-step,spin,CB,DMF/DMSO,100.0,10.0,17.21,1.1,0.59,12.19
0.0,0.55,0.45,1.0,1.65,1.35,1,1.81,ITO,TiO2,,,spiro,,Au,one-step,spin,CB,DMF/DMSO,100.0,10.0,17.38,1.1,0.6,12.33
0.0,0.5,0.5,1.0,1.5,1.5,1,1.84,ITO,TiO2,,,spiro,,Au,one-step,spin,CB,DMF/DMSO,100.0,10.0,16.19,1.11,0.59,11.1
0.0,1.0,0.0,1.0,3.0,0.0,1,,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,10.0,21.4,0.809,0.592,10.4
0.2,0.8,0.0,1.0,3.0,0.0,1,1.56,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,10.0,21.5,1.017,0.701,15.69
0.2,0.8,0.0,1.0,2.84,0.16,1,1.58,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,10.0,21.9,1.073,0.742,17.35
0.05,0.83,0.12,1.0,2.61,0.39,1,1.61,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,50.0,22.21,1.097,0.785,19.11
0.06,0.79,0.15,1.0,2.55,0.45,1,1.59,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,22.6,1.05,0.73,17.3
0.06,0.79,0.15,1.0,1.2,1.8,1,1.83,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,15.3,1.12,0.72,12.3
0.0,0.85,0.15,1.0,2.55,0.45,1,1.62,FTO,c-TiO2,mp-TiO2,,spiro,,Au,one-step,spin,CB,DMF/DMSO,100.0,60.0,21.47,1.027,0.6916,15.24
0.05,0.8075,0.1425,1.0,2.55,0.45,1,1.612,FTO,c-TiO2,mp-TiO2,,spiro,,Au,one-step,spin,CB,DMF/DMSO,100.0,60.0,21.7,1.055,0.7548,17.1
0.1,0.765,0.135,1.0,2.55,0.45,1,1.611,FTO,c-TiO2,mp-TiO2,,spiro,,Au,one-step,spin,CB,DMF/DMSO,100.0,60.0,21.28,1.061,0.6955,15.71
0.5,0.5,0.0,1.0,2.49,0.51,1,1.62,ITO,C,,,TaTm,,Au,Vacuum Deposited,,,,,,17.6,0.846,0.57,8.5
0.5,0.4,0.1,1.0,2.49,0.51,1,1.7,ITO,C,,,TaTm,,Au,Vacuum Deposited,,,,,,17.0,1.146,0.82,16.0
0.0,0.0,1.0,1.0,3.0,0.0,1,1.6,ITO,C,,,TaTm,,Au,Vacuum Deposited,,,,,,19.6,1.094,0.812,17.4
0.0,0.0,1.0,1.0,2.4,0.6,1,1.72,ITO,C,,,TaTm,,Au,Vacuum Deposited,,,,,,17.3,1.104,0.819,15.6
0.0,0.0,1.0,1.0,1.5,1.5,1,1.87,ITO,C,,,TaTm,,Au,Vacuum Deposited,,,,,,10.5,1.206,0.791,10.0
0.0,0.0,1.0,1.0,3.0,0.0,0,1.61,ITO,C,PCBM,,NiOx,,Ag,two-step,spin,toluene,DMF/DMSO,100.0,10.0,20.13,1.05,0.73,15.43
0.0,0.3,0.7,1.0,3.0,0.0,0,1.57,ITO,C,PCBM,,NiOx,,Ag,two-step,spin,toluene,DMF/DMSO,100.0,10.0,21.47,1.02,0.75,16.42
0.0,0.4,0.6,1.0,3.0,0.0,0,1.55,ITO,C,PCBM,,NiOx,,Ag,two-step,spin,toluene,DMF/DMSO,100.0,10.0,21.98,1.0,0.72,15.83
0.0,0.6,0.4,1.0,3.0,0.0,0,1.54,ITO,C,PCBM,,NiOx,,Ag,two-step,spin,toluene,DMF/DMSO,100.0,10.0,20.38,0.99,0.65,13.11
0.0,0.65,0.35,1.0,3.0,0.0,0,1.52,ITO,C,PCBM,,NiOx,,Ag,two-step,spin,toluene,DMF/DMSO,100.0,10.0,19.43,0.98,0.58,11.04
0.0,1.0,0.0,1.0,3.0,0.0,0,1.51,ITO,C,PCBM,,NiOx,,Ag,two-step,spin,toluene,DMF/DMSO,150.0,10.0,20.76,0.96,0.63,12.56
0.0,0.3,0.7,1.0,0.0,3.0,0,1.57,ITO,C,PCBM,,NiOx,,Ag,two-step,spin,toluene,DMF/DMSO,100.0,10.0,21.47,1.02,0.75,16.42
0.0,0.3,0.7,1.0,0.15,2.85,0,1.6,ITO,C,PCBM,,NiOx,,Ag,two-step,spin,toluene,DMF/DMSO,100.0,10.0,20.48,1.06,0.77,16.72
0.0,0.3,0.7,1.0,0.3,2.7,0,1.63,ITO,C,PCBM,,NiOx,,Ag,two-step,spin,toluene,DMF/DMSO,100.0,10.0,20.21,1.1,0.78,17.34
0.0,0.3,0.7,1.0,0.45,2.55,0,1.66,ITO,C,PCBM,,NiOx,,Ag,two-step,spin,toluene,DMF/DMSO,100.0,10.0,18.94,1.11,0.78,16.4
0.0,0.3,0.7,1.0,0.6,2.4,0,1.69,ITO,C,PCBM,,NiOx,,Ag,two-step,spin,toluene,DMF/DMSO,100.0,10.0,17.34,1.11,0.78,15.01
0.17,0.83,0.0,1.0,2.4,0.8,1,1.72,FTO,SnO2,,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,18.3,1.244,0.77,18.6
0.17,0.83,0.0,1.0,1.8,1.2,1,1.79,FTO,SnO2,,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,16.4,1.284,0.687,16.51
0.17,0.83,0.0,1.0,1.5,1.5,1,1.86,FTO,SnO2,,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,15.1,1.296,0.674,15.01
0.17,0.83,0.0,1.0,1.2,1.8,1,1.93,FTO,SnO2,,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,13.6,1.312,0.652,14.35
0.17,0.83,0.0,1.0,2.25,0.75,0,1.68,ITO,C,BCP,,PTAA,,Ag,three-step,spin,,DMF/DMSO,100.0,30.0,19.0,1.1,0.74,15.4
0.25,0.75,0.0,1.0,2.4,0.6,0,1.68,ITO,C,BCP,,PTAA,,Ag,three-step,spin,,DMF/DMSO,100.0,30.0,19.4,1.1,0.81,17.4
0.17,0.83,0.0,1.0,1.8,1.2,0,1.75,ITO,C,BCP,,PTAA,,Ag,three-step,spin,,DMF/DMSO,100.0,30.0,17.4,1.13,0.74,14.6
0.4,0.6,0.0,1.0,2.1,0.9,0,1.75,ITO,C,BCP,,PTAA,,Ag,three-step,spin,,DMF/DMSO,100.0,30.0,17.5,1.17,0.8,16.3
0.0,0.0,1.0,1.0,3.0,0.0,1,1.58,FTO,SnO2,C,,spiro,,Ag,three-step,CAGQ,,DMF/DMSO,100.0,60.0,16.3,0.81,0.53,7.5
0.0,0.85,0.15,1.0,2.7,0.3,1,1.55,FTO,SnO2,C,,spiro,,Ag,three-step,CAGQ,,DMF/DMSO,100.0,60.0,17.0,0.81,0.5,6.3
0.0,0.85,0.15,1.0,2.85,0.15,1,1.55,FTO,SnO2,C,,spiro,,Ag,three-step,CAGQ,,DMF/DMSO,150.0,30.0,18.4,0.9,0.46,7.7
0.05,0.7885,0.1615,1.0,2.7,0.3,1,1.55,FTO,SnO2,C,,spiro,,Ag,three-step,CAGQ,,DMF/DMSO,100.0,60.0,18.3,0.9,0.58,8.9
0.0,0.0,1.0,1.0,3.0,0.0,1,1.61,FTO,SnO2,C,,spiro,,Ag,three-step,spin,,DMF/DMSO,100.0,60.0,21.2,1.05,0.74,16.5
0.0,0.0,1.0,1.0,3.0,0.0,1,1.59,FTO,SnO2,C,,spiro,,Ag,three-step,spin,,DMF,100.0,60.0,21.4,1.01,0.66,14.6
0.0,1.0,0.0,1.0,3.0,0.0,1,1.52,FTO,SnO2,C,,spiro,,Ag,three-step,spin,,DMF/DMSO,150.0,30.0,22.3,0.95,0.75,16.1
0.0,0.85,0.15,1.0,2.7,0.3,1,1.57,FTO,SnO2,C,,spiro,,Ag,three-step,spin,,DMF/DMSO,100.0,60.0,21.9,1.06,0.72,16.6
0.15,0.85,0.0,1.0,2.85,0.15,1,1.59,FTO,SnO2,C,,spiro,,Ag,three-step,spin,,DMF/DMSO,150.0,30.0,21.5,0.98,0.7,14.7
0.05,0.7885,0.1615,1.0,2.7,0.3,1,1.58,FTO,SnO2,C,,spiro,,Ag,three-step,spin,,DMF/DMSO,100.0,60.0,22.6,1.08,0.74,18.0
0.2,0.8,0.0,1.0,1.95,1.05,1,1.76,FTO,SnO2,C,,spiro,,Ag,three-step,spin,,DMF/DMSO,150.0,30.0,16.9,1.08,0.7,12.5
0.25,0.75,0.0,1.0,2.1,0.9,1,1.73,FTO,SnO2,C,,spiro,,Ag,three-step,spin,,DMF/DMSO,150.0,30.0,17.1,1.06,0.67,12.2
0.2,0.664,0.136,1.0,1.95,1.05,1,1.77,FTO,SnO2,C,,spiro,,Ag,three-step,spin,,DMF/DMSO,100.0,60.0,16.5,1.07,0.69,12.0
0.0,0.0,1.0,1.0,3.0,0.0,0,1.58,FTO,PCBM,BCP,,ployTPD:F4-TCNQ,,Ag,three-step,CAGQ,,DMF/DMSO,100.0,60.0,13.5,0.81,0.6,6.6
0.05,0.7885,0.1615,1.0,2.7,0.3,0,1.55,FTO,PCBM,BCP,,ployTPD:F4-TCNQ,,Ag,three-step,CAGQ,,DMF/DMSO,100.0,60.0,11.2,0.1,0.19,0.3
0.2,0.8,0.0,1.0,1.95,1.05,0,1.76,FTO,PCBM,BCP,,ployTPD:F4-TCNQ,,Ag,three-step,CAGQ,,DMF/DMSO,150.0,30.0,14.1,0.91,0.49,6.3
0.0,0.0,1.0,1.0,3.0,0.0,0,1.61,FTO,PCBM,BCP,,ployTPD:F4-TCNQ,,Ag,three-step,spin,,DMF/DMSO,100.0,60.0,18.9,1.04,0.79,15.6
0.05,0.7885,0.1615,1.0,2.7,0.3,0,1.58,FTO,PCBM,BCP,,ployTPD:F4-TCNQ,,Ag,three-step,spin,,DMF/DMSO,100.0,60.0,20.0,0.95,0.78,15.4
0.2,0.8,0.0,1.0,1.95,1.05,0,1.76,FTO,PCBM,BCP,,ployTPD:F4-TCNQ,,Ag,three-step,spin,,DMF/DMSO,150.0,30.0,14.3,1.07,0.76,11.6
0.6,0.0,0.4,1.0,1.8,1.2,0,1.81,ITO,PCBM,BCP,,PTAA,,Ag,one-step,spin,CB,DMF/DMSO,130.0,10.0,13.9,1.17,0.683,11.1
0.6,0.4,0.0,1.0,1.8,1.2,0,1.78,ITO,PCBM,BCP,,PTAA,,Ag,one-step,spin,CB,DMF/DMSO,130.0,10.0,14.0,1.12,0.774,12.1
0.0,0.4,0.6,1.0,1.8,1.2,0,1.76,ITO,PCBM,BCP,,PTAA,,Ag,one-step,spin,CB,DMF/DMSO,130.0,10.0,16.0,1.17,0.786,14.7
0.15,0.85,0.0,1.0,0.9,2.1,1,2.0,ITO,TiO2,,,TaTm,,Au,one-step,spin,toluene,DMSO,100.0,30.0,11.36,1.183,0.774,10.4
